feature_number,feature,feature_type,in_file
52,Reason stated for working part time - Teacher chose to work part time,Percentage,888933042656.csv
53, - There was no possibility to work full time,Percentage,888933042656.csv
54,Permanently employed,Percentage,888933042694.csv
55,Fixed-term contract: More than 1 school year,Percentage,888933042694.csv
56,Fixed-term contract: 1 school year or less,Percentage,888933042694.csv
57,Teachers working in schools with more than 100f students whose first language is different from the language of instruction3 - ,Percentage,888933042732.csv
58,Teachers with 5 years teaching experience or less - Working in schools with more than 100f students whose first language is different from the language of instruction,Percentage,888933042732.csv
59, - Working in schools with 100r less of students whose first language is different from the language of instruction,Percentage,888933042732.csv
60,Teachers with more than 5 years teaching experience - Working in schools with more than 100f students whose first language is different from the language of instruction,Percentage,888933042732.csv
61, - Working in schools with 100r less of students whose first language is different from the language of instruction,Percentage,888933042732.csv
62,Teachers with a highest level of education of ISCED 5B or below4 5 - Working in schools with more than 100f students whose first language is different from the language of instruction,Percentage,888933042732.csv
63, - Working in schools with 100r less of students whose first language is different from the language of instruction,Percentage,888933042732.csv
64,Teachers with a highest level of education of ISCED 5A or above4 - Working in schools with more than 100f students whose first language is different from the language of instruction,Percentage,888933042732.csv
65, - Working in schools with 100r less of students whose first language is different from the language of instruction,Percentage,888933042732.csv
66,Check for below 5% - Teachers with 5 years teaching experience or less,,888933042732.csv
67, - Teachers with more than 5 years teaching experience,,888933042732.csv
68, - Teachers with a highest level of education of ISCED 5b or below3,,888933042732.csv
69, - Teachers with a highest level of education of ISCED 5a or above,,888933042732.csv
70,Teachers working in schools with more than 100f students with special needs - ,Percentage,888933042751.csv
71,Teachers with 5 years teaching experience or less - Working in schools with more than 100f students with special needs4,Percentage,888933042751.csv
72, - Working in schools with 100r less of students with special needs4,Percentage,888933042751.csv
73,Teachers with more than 5 years teaching experience - Working in schools with more than 100f students with special needs,Percentage,888933042751.csv
74, - Working in schools with 100r less of students with special needs,Percentage,888933042751.csv
75,Teachers with a highest level of education of ISCED 5B or below - Working in schools with more than 100f students with special needs,Percentage,888933042751.csv
76, - Working in schools with 100r less of students with special needs,Percentage,888933042751.csv
77,Teachers with a highest level of education of ISCED 5A or above - Working in schools with more than 100f students with special needs,Percentage,888933042751.csv
78, - Working in schools with 100r less of students with special needs,Percentage,888933042751.csv
79,Check for below 5% - Teachers with 5 years teaching experience or less,,888933042751.csv
80, - Teachers with more than 5 years teaching experience,,888933042751.csv
81, - Teachers with a highest level of education of ISCED 5b or below,,888933042751.csv
82, - Teachers with a highest level of education of ISCED 5a or above,,888933042751.csv
83,Teachers working in schools with more than 300f students from socioeconomically disadvantaged homes3 4 - ,Percentage,888933042770.csv
84,Teachers with 5 years teaching experience or less - Working in schools with more than 300f students from socioeconomically disadvantaged homes4,Percentage,888933042770.csv
85, - Working in schools with 300r less of students from socioeconomically disadvantaged homes4,Percentage,888933042770.csv
86,Teachers with more than 5 years teaching experience - Working in schools with more than 300f students from socioeconomically disadvantaged homes4,Percentage,888933042770.csv
87, - Working in schools with 300r less of students from socioeconomically disadvantaged homes4,Percentage,888933042770.csv
88,Teachers with a highest level of education of ISCED 5B or below5 6 - Working in schools with more than 300f students from socioeconomically disadvantaged homes4,Percentage,888933042770.csv
89, - Working in schools with 300r less of students from socioeconomically disadvantaged homes4,Percentage,888933042770.csv
90,Teachers with a highest level of education of ISCED 5A or above5 - Working in schools with more than 300f students from socioeconomically disadvantaged homes4,Percentage,888933042770.csv
91, - Working in schools with 300r less of students from socioeconomically disadvantaged homes4,Percentage,888933042770.csv
92,Check for below 5% - Teachers with 5 years teaching experience or less,,888933042770.csv
93, - Teachers with more than 5 years teaching experience,,888933042770.csv
94, - Teachers with a highest level of education of ISCED 5b or below3,,888933042770.csv
95, - Teachers with a highest level of education of ISCED 5a or above,,888933042770.csv
96,Schools with the following percentage of students whose first language is different from the language of instruction1 - None,Percentage,888933042827.csv
97, - 10 10%,Percentage,888933042827.csv
98, - 110 30%,Percentage,888933042827.csv
99, - 310 60%,Percentage,888933042827.csv
100, - More than 60%,Percentage,888933042827.csv
101,Schools with the following percentage of students with special needs12 - None,Percentage,888933042827.csv
102, - 10 10%,Percentage,888933042827.csv
103, - 110 30%,Percentage,888933042827.csv
104, - 310 60%,Percentage,888933042827.csv
105, - More than 60%,Percentage,888933042827.csv
106,Schools with the following percentage of students from socioeconomically disadvantaged homes13 - None,Percentage,888933042827.csv
107, - 10 10%,Percentage,888933042827.csv
108, - 110 30%,Percentage,888933042827.csv
109, - 310 60%,Percentage,888933042827.csv
110, - More than 60%,Percentage,888933042827.csv
111,Teachers working in schools located in areas with 15 000 people or fewer - ,Percentage,888933042846.csv
112,Within schools located in areas with 15 000 people or fewer - Teachers with 5 years teaching experience or less,Percentage,888933042846.csv
113, - Teachers with more than 5 years teaching experience,Percentage,888933042846.csv
114, - Teachers with a highest level of education of ISCED 5B or below,Percentage,888933042846.csv
115, - Teachers with a highest level of education of ISCED 5A or above,Percentage,888933042846.csv
116,Teachers working in schools located in areas with 15 000 to 100 000 people - ,Percentage,888933042846.csv
117,Within schools located in areas with 15 000 to 100 000 people - Teachers with 5 years teaching experience or less,Percentage,888933042846.csv
118, - Teachers with more than 5 years teaching experience,Percentage,888933042846.csv
119, - Teachers with a highest level of education of ISCED 5B or below,Percentage,888933042846.csv
120, - Teachers with a highest level of education of ISCED 5A or above,Percentage,888933042846.csv
121,Teachers working in schools located in areas with more than 100 000 people - ,Percentage,888933042846.csv
122,Within schools located in areas with more than 100 000 people - Teachers with 5 years teaching experience or less,Percentage,888933042846.csv
123, - Teachers with more than 5 years teaching experience,Percentage,888933042846.csv
124, - Teachers with a highest level of education of ISCED 5B or below,Percentage,888933042846.csv
125, - Teachers with a highest level of education of ISCED 5A or above,Percentage,888933042846.csv
126,Check for below 5% - Teachers with 5 years teaching experience or less,,888933042846.csv
127, - Teachers with more than 5 years teaching experience,,888933042846.csv
128, - Teachers with a highest level of education of ISCED 5b or below,,888933042846.csv
129, - Teachers with a highest level of education of ISCED 5a or above,,888933042846.csv
130,Hamlet or rural area (1 000 people or fewer),Percentage,888933042903.csv
131,Village (1 001 to 3 000 people),Percentage,888933042903.csv
132,Small town (3 001 to 15 000 people),Percentage,888933042903.csv
133,Town (15 001 to 100 000 people),Percentage,888933042903.csv
134,City (100 001 to 1 000 000 people),Percentage,888933042903.csv
135,Large city (more than 1 000 000 people),Percentage,888933042903.csv
136,Currently teaching reading writing and literature3 - ,Percentage,888933042941.csv
137,Of whom received the following types of formal education or training in this subject category - ISCED level 4 or 5B for this subject category,Percentage,888933042941.csv
138, - ISCED level 5A or above for this subject category,Percentage,888933042941.csv
139, - Subject specialisation as part of the teacher training,Percentage,888933042941.csv
140, - In-service or professional development stage,Percentage,888933042941.csv
141, - No formal education or training at ISCED level 4 or higher or at the professional development stage for this subject category13,Percentage,888933042941.csv
142,Currently teaching mathematics4 - ,Percentage,888933042941.csv
143,Of whom received the following types of formal education or training in this subject category - ISCED level 4 or 5B for this subject category,Percentage,888933042941.csv
144, - ISCED level 5A or above for this subject category,Percentage,888933042941.csv
145, - Subject specialisation as part of the teacher training,Percentage,888933042941.csv
146, - In-service or professional development stage,Percentage,888933042941.csv
147, - No formal education or training at ISCED level 4 or higher or at the professional development stage for this subject category13,Percentage,888933042941.csv
148,Currently teaching science5 - ,Percentage,888933042941.csv
149,Of whom received the following types of formal education or training in this subject category - ISCED level 4 or 5B for this subject category,Percentage,888933042941.csv
150, - ISCED level 5A or above for this subject category,Percentage,888933042941.csv
151, - Subject specialisation as part of the teacher training,Percentage,888933042941.csv
152, - In-service or professional development stage,Percentage,888933042941.csv
153, - No formal education or training at ISCED level 4 or higher or at the professional development stage for this subject category13,Percentage,888933042941.csv
154,Currently teaching social studies6 - ,Percentage,888933042941.csv
155,Of whom received the following types of formal education or training in this subject category - ISCED level 4 or 5B for this subject category,Percentage,888933042941.csv
156, - ISCED level 5A or above for this subject category,Percentage,888933042941.csv
157, - Subject specialisation as part of the teacher training,Percentage,888933042941.csv
158, - In-service or professional development stage,Percentage,888933042941.csv
159, - No formal education or training at ISCED level 4 or higher or at the professional development stage for this subject category13,Percentage,888933042941.csv
160,Currently teaching modern foreign languages7 - ,Percentage,888933042941.csv
161,Of whom received the following types of formal education or training in this subject category - ISCED level 4 or 5B for this subject category,Percentage,888933042941.csv
162, - ISCED level 5A or above for this subject category,Percentage,888933042941.csv
163, - Subject specialisation as part of the teacher training,Percentage,888933042941.csv
164, - In-service or professional development stage,Percentage,888933042941.csv
165, - No formal education or training at ISCED level 4 or higher or at the professional development stage for this subject category13,Percentage,888933042941.csv
166,Currently teaching ancient Greek and/or Latin - ,Percentage,888933042941.csv
167,Of whom received the following types of formal education or training in this subject category - ISCED level 4 or 5B for this subject category,Percentage,888933042941.csv
168, - ISCED level 5A or above for this subject category,Percentage,888933042941.csv
169, - Subject specialisation as part of the teacher training,Percentage,888933042941.csv
170, - In-service or professional development stage,Percentage,888933042941.csv
171, - No formal education or training at ISCED level 4 or higher or at the professional development stage for this subject category13,Percentage,888933042941.csv
172,Currently teaching technology8 - ,Percentage,888933042941.csv
173,Of whom received the following types of formal education or training in this subject category - ISCED level 4 or 5B for this subject category,Percentage,888933042941.csv
174, - ISCED level 5A or above for this subject category,Percentage,888933042941.csv
175, - Subject specialisation as part of the teacher training,Percentage,888933042941.csv
176, - In-service or professional development stage,Percentage,888933042941.csv
177, - No formal education or training at ISCED level 4 or higher or at the professional development stage for this subject category13,Percentage,888933042941.csv
178,Currently teaching arts9 - ,Percentage,888933042941.csv
179,Of whom received the following types of formal education or training in this subject category - ISCED level 4 or 5B for this subject category,Percentage,888933042941.csv
180, - ISCED level 5A or above for this subject category,Percentage,888933042941.csv
181, - Subject specialisation as part of the teacher training,Percentage,888933042941.csv
182, - In-service or professional development stage,Percentage,888933042941.csv
183, - No formal education or training at ISCED level 4 or higher or at the professional development stage for this subject category13,Percentage,888933042941.csv
184,Currently teaching physical education10 - ,Percentage,888933042941.csv
185,Of whom received the following types of formal education or training in this subject category - ISCED level 4 or 5B for this subject category,Percentage,888933042941.csv
186, - ISCED level 5A or above for this subject category,Percentage,888933042941.csv
187, - Subject specialisation as part of the teacher training,Percentage,888933042941.csv
188, - In-service or professional development stage,Percentage,888933042941.csv
189, - No formal education or training at ISCED level 4 or higher or at the professional development stage for this subject category13,Percentage,888933042941.csv
190,Currently teaching religion and/or ethics11 - ,Percentage,888933042941.csv
191,Of whom received the following types of formal education or training in this subject category - ISCED level 4 or 5B for this subject category,Percentage,888933042941.csv
192, - ISCED level 5A or above for this subject category,Percentage,888933042941.csv
193, - Subject specialisation as part of the teacher training,Percentage,888933042941.csv
194, - In-service or professional development stage,Percentage,888933042941.csv
195, - No formal education or training at ISCED level 4 or higher or at the professional development stage for this subject category13,Percentage,888933042941.csv
196,Currently teaching practical and vocational skills12 - ,Percentage,888933042941.csv
197,Of whom received the following types of formal education or training in this subject category - ISCED level 4 or 5B for this subject category,Percentage,888933042941.csv
198, - ISCED level 5A or above for this subject category,Percentage,888933042941.csv
199, - Subject specialisation as part of the teacher training,Percentage,888933042941.csv
200, - In-service or professional development stage,Percentage,888933042941.csv
201, - No formal education or training at ISCED level 4 or higher or at the professional development stage for this subject category13,Percentage,888933042941.csv
202,Public schools1 - ,Percentage,888933042998.csv
203,Private schools2 - ,Percentage,888933042998.csv
204,Schools that compete with two or more other schools for at least some of their students - ,Percentage,888933042998.csv
205,Schools that compete with one other school for at least some of their students - ,Percentage,888933042998.csv
206,Schools that do not compete with other schools for their students - ,Percentage,888933042998.csv
207,Number of students in schools,Average,888933043055.csv
208,Number of teachers in schools,Average,888933043055.csv
209,Ratio of students to number of teachers,Average,888933043055.csv
210,Ratio of teachers to number of personnel for pedagogical support,Average,888933043055.csv
211,Ratio of teachers to number of school administrative or management personnel,Average,888933043055.csv
212,Average class size,Average,888933043055.csv
213,Shortage of qualified and/or well-performing teachers,Percentage,888933043112.csv
214,Shortage of teachers with competences in teaching students with special needs,Percentage,888933043112.csv
215,Shortage of vocational teachers,Percentage,888933043112.csv
216,Shortage or inadequacy of instructional materials,Percentage,888933043112.csv
217,Shortage or inadequacy of computers for instruction,Percentage,888933043112.csv
218,Insufficient internet access,Percentage,888933043112.csv
219,Shortage or inadequacy of computer software for instruction,Percentage,888933043112.csv
220,Shortage or inadequacy of library materials,Percentage,888933043112.csv
221,Shortage of support personnel,Percentage,888933043112.csv
222,Shortage of qualified and/or well-performing teachers - Not at all,Percentage,888933043131.csv
223, - Very little,Percentage,888933043131.csv
224, - To some extent,Percentage,888933043131.csv
225, - A lot,Percentage,888933043131.csv
226,Shortage of teachers with competences in teaching students with special needs - Not at all,Percentage,888933043131.csv
227, - Very little,Percentage,888933043131.csv
228, - To some extent,Percentage,888933043131.csv
229, - A lot,Percentage,888933043131.csv
230,Shortage of vocational teachers - Not at all,Percentage,888933043131.csv
231, - Very little,Percentage,888933043131.csv
232, - To some extent,Percentage,888933043131.csv
233, - A lot,Percentage,888933043131.csv
234,Shortage or inadequacy of instructional materials - Not at all,Percentage,888933043131.csv
235, - Very little,Percentage,888933043131.csv
236, - To some extent,Percentage,888933043131.csv
237, - A lot,Percentage,888933043131.csv
238,Shortage or inadequacy of computers for instruction - Not at all,Percentage,888933043131.csv
239, - Very little,Percentage,888933043131.csv
240, - To some extent,Percentage,888933043131.csv
241, - A lot,Percentage,888933043131.csv
242,Insufficient internet access - Not at all,Percentage,888933043131.csv
243, - Very little,Percentage,888933043131.csv
244, - To some extent,Percentage,888933043131.csv
245, - A lot,Percentage,888933043131.csv
246,Shortage or inadequacy of computer software for instruction - Not at all,Percentage,888933043131.csv
247, - Very little,Percentage,888933043131.csv
248, - To some extent,Percentage,888933043131.csv
249, - A lot,Percentage,888933043131.csv
250,Shortage or inadequacy of library materials - Not at all,Percentage,888933043131.csv
251, - Very little,Percentage,888933043131.csv
252, - To some extent,Percentage,888933043131.csv
253, - A lot,Percentage,888933043131.csv
254,Shortage of support personnel - Not at all,Percentage,888933043131.csv
255, - Very little,Percentage,888933043131.csv
256, - To some extent,Percentage,888933043131.csv
257, - A lot,Percentage,888933043131.csv
258,Arriving late at school,Percentage,888933043150.csv
259,Absenteeism,Percentage,888933043150.csv
260,Cheating,Percentage,888933043150.csv
261,Vandalism and theft,Percentage,888933043150.csv
262,Intimidation or verbal abuse among students,Percentage,888933043150.csv
263,Physical injury caused by violence among students,Percentage,888933043150.csv
264,Intimidation or verbal abuse of teachers or staff,Percentage,888933043150.csv
265,Use/possession of drugs and/or alcohol,Percentage,888933043150.csv
266,Arriving late at school,Percentage,888933043188.csv
267,Absenteeism,Percentage,888933043188.csv
268,Discrimination,Percentage,888933043188.csv
269,The school staff share a common set of beliefs about schooling/learning,Percentage,888933043226.csv
270,There is a high level of co-operation between the school and the local community,Percentage,888933043226.csv
271,School staff have an open discussion about difficulties,Percentage,888933043226.csv
272,There is mutual respect for colleagues' ideas,Percentage,888933043226.csv
273,There is a culture of sharing success,Percentage,888933043226.csv
274,Teachers who report that the following statements apply - In this school teachers and students usually get on well with each other - Strongly disagree,Percentage,888933043302.csv
275, -  - Disagree,Percentage,888933043302.csv
276, -  - Agree,Percentage,888933043302.csv
277, -  - Strongly agree,Percentage,888933043302.csv
278,Teachers who report that the following statements apply - Most teachers in this school believe that the students' well-being is important - Strongly disagree,Percentage,888933043302.csv
279, -  - Disagree,Percentage,888933043302.csv
280, -  - Agree,Percentage,888933043302.csv
281, -  - Strongly agree,Percentage,888933043302.csv
282,Teachers who report that the following statements apply - Most teachers in this school are interested in what students have to say - Strongly disagree,Percentage,888933043302.csv
283, -  - Disagree,Percentage,888933043302.csv
284, -  - Agree,Percentage,888933043302.csv
285, -  - Strongly agree,Percentage,888933043302.csv
286,Teachers who report that the following statements apply - If a student from this school needs extra assistance the school provides it - Strongly disagree,Percentage,888933043302.csv
287, -  - Disagree,Percentage,888933043302.csv
288, -  - Agree,Percentage,888933043302.csv
289, -  - Strongly agree,Percentage,888933043302.csv
290,Principals who report that the following statements apply - The relationships between teachers and students are good - Strongly disagree,Percentage,888933043302.csv
291, - Disagree,Percentage,888933043302.csv
292, - Agree,Percentage,888933043302.csv
293, - Strongly agree,Percentage,888933043302.csv
294,Appointing or hiring teachers - The principal,Percentage,888933043340.csv
295, - Other members of the school management team,Percentage,888933043340.csv
296, - Teachers (not as part of the school management team),Percentage,888933043340.csv
297, - School governing board,Percentage,888933043340.csv
298, - Local municipality/regional state or national/federal authority,Percentage,888933043340.csv
299,Dismissing or suspending teachers from employment - The principal,Percentage,888933043340.csv
300, - Other members of the school management team,Percentage,888933043340.csv
301, - Teachers (not as part of the school management team),Percentage,888933043340.csv
302, - School governing board,Percentage,888933043340.csv
303, - Local municipality/regional state or national/federal authority,Percentage,888933043340.csv
304,Establishing teachers' starting salaries including setting pay scales - The principal,Percentage,888933043340.csv
305, - Other members of the school management team,Percentage,888933043340.csv
306, - Teachers (not as part of the school management team),Percentage,888933043340.csv
307, - School governing board,Percentage,888933043340.csv
308, - Local municipality/regional state or national/federal authority,Percentage,888933043340.csv
309,Determining teachers' salary increases - The principal,Percentage,888933043340.csv
310, - Other members of the school management team,Percentage,888933043340.csv
311, - Teachers (not as part of the school management team),Percentage,888933043340.csv
312, - School governing board,Percentage,888933043340.csv
313, - Local municipality/regional state or national/federal authority,Percentage,888933043340.csv
314,Deciding on budget allocations within the school - The principal,Percentage,888933043340.csv
315, - Other members of the school management team,Percentage,888933043340.csv
316, - Teachers (not as part of the school management team),Percentage,888933043340.csv
317, - School governing board,Percentage,888933043340.csv
318, - Local municipality/regional state or national/federal authority,Percentage,888933043340.csv
319,Establishing student disciplinary policies and procedures - The principal,Percentage,888933043340.csv
320, - Other members of the school management team,Percentage,888933043340.csv
321, - Teachers (not as part of the school management team),Percentage,888933043340.csv
322, - School governing board,Percentage,888933043340.csv
323, - Local municipality/regional state or national/federal authority,Percentage,888933043340.csv
324,Establishing student assessment policies including national/regional assessments - The principal,Percentage,888933043340.csv
325, - Other members of the school management team,Percentage,888933043340.csv
326, - Teachers (not as part of the school management team),Percentage,888933043340.csv
327, - School governing board,Percentage,888933043340.csv
328, - Local municipality/regional state or national/federal authority,Percentage,888933043340.csv
329,Approving students for admission to the school - The principal,Percentage,888933043340.csv
330, - Other members of the school management team,Percentage,888933043340.csv
331, - Teachers (not as part of the school management team),Percentage,888933043340.csv
332, - School governing board,Percentage,888933043340.csv
333, - Local municipality/regional state or national/federal authority,Percentage,888933043340.csv
334,Choosing which learning materials are used - The principal,Percentage,888933043340.csv
335, - Other members of the school management team,Percentage,888933043340.csv
336, - Teachers (not as part of the school management team),Percentage,888933043340.csv
337, - School governing board,Percentage,888933043340.csv
338, - Local municipality/regional state or national/federal authority,Percentage,888933043340.csv
339,Determining course content including national/regional curricula - The principal,Percentage,888933043340.csv
340, - Other members of the school management team,Percentage,888933043340.csv
341, - Teachers (not as part of the school management team),Percentage,888933043340.csv
342, - School governing board,Percentage,888933043340.csv
343, - Local municipality/regional state or national/federal authority,Percentage,888933043340.csv
344,Deciding which courses are offered - The principal,Percentage,888933043340.csv
345, - Other members of the school management team,Percentage,888933043340.csv
346, - Teachers (not as part of the school management team),Percentage,888933043340.csv
347, - School governing board,Percentage,888933043340.csv
348, - Local municipality/regional state or national/federal authority,Percentage,888933043340.csv
349,Administrative and leadership tasks and meetings,Average,888933043359.csv
350,Curriculum and teaching-related tasks and meetings,Average,888933043359.csv
351,Student interactions,Average,888933043359.csv
352,Parents or guardian interactions,Average,888933043359.csv
353,Interactions with local and regional community business and industry,Average,888933043359.csv
354,Other,Average,888933043359.csv
355,Collaborate with teachers to solve classroom discipline problems - Never or rarely,Percentage,888933043435.csv
356, - Sometimes,Percentage,888933043435.csv
357, - Often,Percentage,888933043435.csv
358, - Very often,Percentage,888933043435.csv
359,Observe instruction in the classroom - Never or rarely,Percentage,888933043435.csv
360, - Sometimes,Percentage,888933043435.csv
361, - Often,Percentage,888933043435.csv
362, - Very often,Percentage,888933043435.csv
363,Take action to support co-operation among teachers to develop new teaching practices - Never or rarely,Percentage,888933043435.csv
364, - Sometimes,Percentage,888933043435.csv
365, - Often,Percentage,888933043435.csv
366, - Very often,Percentage,888933043435.csv
367,Take action to ensure that teachers take responsibility for improving their teaching skills - Never or rarely,Percentage,888933043435.csv
368, - Sometimes,Percentage,888933043435.csv
369, - Often,Percentage,888933043435.csv
370, - Very often,Percentage,888933043435.csv
371,Take action to ensure that teachers feel responsible for their students' learning outcomes - Never or rarely,Percentage,888933043435.csv
372, - Sometimes,Percentage,888933043435.csv
373, - Often,Percentage,888933043435.csv
374, - Very often,Percentage,888933043435.csv
375,Provide parents or guardians with information on the school and student performance - Never or rarely,Percentage,888933043435.csv
376, - Sometimes,Percentage,888933043435.csv
377, - Often,Percentage,888933043435.csv
378, - Very often,Percentage,888933043435.csv
379,Check for mistakes and errors in school administrative procedures and reports - Never or rarely,Percentage,888933043435.csv
380, - Sometimes,Percentage,888933043435.csv
381, - Often,Percentage,888933043435.csv
382, - Very often,Percentage,888933043435.csv
383,Resolve problems with the lesson timetable in the school - Never or rarely,Percentage,888933043435.csv
384, - Sometimes,Percentage,888933043435.csv
385, - Often,Percentage,888933043435.csv
386, - Very often,Percentage,888933043435.csv
387,Collaborate with principals from other schools - Never or rarely,Percentage,888933043435.csv
388, - Sometimes,Percentage,888933043435.csv
389, - Often,Percentage,888933043435.csv
390, - Very often,Percentage,888933043435.csv
391,Used student performance and student evaluation results (including national/international assessments) to develop the school's educational goals and programmes,Percentage,888933043530.csv
392,Worked on a professional development plan for the school,Percentage,888933043530.csv
393,Appointing or hiring teachers - Principal,Percentage,888933043606.csv
394, - Other members of the school management team,Percentage,888933043606.csv
395, - Teachers (not as part of the school management team),Percentage,888933043606.csv
396, - School governing boards,Percentage,888933043606.csv
397, - Local municipality/regional state or national/federal authority,Percentage,888933043606.csv
398,Dismissing or suspending teachers from employment - Principal,Percentage,888933043606.csv
399, - Other members of the school management team,Percentage,888933043606.csv
400, - Teachers (not as part of the school management team),Percentage,888933043606.csv
401, - School governing boards,Percentage,888933043606.csv
402, - Local municipality/regional state or national/federal authority,Percentage,888933043606.csv
403,Establishing teachers' starting salaries including setting payscales - Principal,Percentage,888933043606.csv
404, - Other members of the school management team,Percentage,888933043606.csv
405, - Teachers (not as part of the school management team),Percentage,888933043606.csv
406, - School governing boards,Percentage,888933043606.csv
407, - Local municipality/regional state or national/federal authority,Percentage,888933043606.csv
408,Determining teachers' salary increases - Principal,Percentage,888933043606.csv
409, - Other members of the school management team,Percentage,888933043606.csv
410, - Teachers (not as part of the school management team),Percentage,888933043606.csv
411, - School governing boards,Percentage,888933043606.csv
412, - Local municipality/regional state or national/federal authority,Percentage,888933043606.csv
413,Deciding on budget allocations within the school - Principal,Percentage,888933043606.csv
414, - Other members of the school management team,Percentage,888933043606.csv
415, - Teachers (not as part of the school management team),Percentage,888933043606.csv
416, - School governing boards,Percentage,888933043606.csv
417, - Local municipality/regional state or national/federal authority,Percentage,888933043606.csv
418,Establishing student disciplinary policies and procedures - Principal,Percentage,888933043606.csv
419, - Other members of the school management team,Percentage,888933043606.csv
420, - Teachers (not as part of the school management team),Percentage,888933043606.csv
421, - School governing boards,Percentage,888933043606.csv
422, - Local municipality/regional state or national/federal authority,Percentage,888933043606.csv
423,Establishing student assessment policies including national/regional assessments - Principal,Percentage,888933043606.csv
424, - Other members of the school management team,Percentage,888933043606.csv
425, - Teachers (not as part of the school management team),Percentage,888933043606.csv
426, - School governing boards,Percentage,888933043606.csv
427, - Local municipality/regional state or national/federal authority,Percentage,888933043606.csv
428,Approving students for admission to the school - Principal,Percentage,888933043606.csv
429, - Other members of the school management team,Percentage,888933043606.csv
430, - Teachers (not as part of the school management team),Percentage,888933043606.csv
431, - School governing boards,Percentage,888933043606.csv
432, - Local municipality/regional state or national/federal authority,Percentage,888933043606.csv
433,Choosing which learning materials are used - Principal,Percentage,888933043606.csv
434, - Other members of the school management team,Percentage,888933043606.csv
435, - Teachers (not as part of the school management team),Percentage,888933043606.csv
436, - School governing boards,Percentage,888933043606.csv
437, - Local municipality/regional state or national/federal authority,Percentage,888933043606.csv
438,Determining course content including national/regional curricula - Principal,Percentage,888933043606.csv
439, - Other members of the school management team,Percentage,888933043606.csv
440, - Teachers (not as part of the school management team),Percentage,888933043606.csv
441, - School governing boards,Percentage,888933043606.csv
442, - Local municipality/regional state or national/federal authority,Percentage,888933043606.csv
443,Deciding which courses are offered - Principal,Percentage,888933043606.csv
444, - Other members of the school management team,Percentage,888933043606.csv
445, - Teachers (not as part of the school management team),Percentage,888933043606.csv
446, - School governing boards,Percentage,888933043606.csv
447, - Local municipality/regional state or national/federal authority,Percentage,888933043606.csv
448,Female - ,Percentage,888933043739.csv
449,Mean age - ,Average,888933043739.csv
450,Percentage of principals in each age group - Under 30 years,Percentage,888933043739.csv
